Order Number,Tip,Satisfaction Rating
56897,27.00,9
56898,45.00,2
56899,41.00,8
56900,4.00,9
56901,35.00,7
56902,14.00,9
56903,39.00,9
56904,0.00,1
56905,34.00,9
56906,26.00,7
56907,44.00,7
56908,16.00,10
56909,31.00,7
56910,43.00,9
56911,29.00,8
56912,17.00,7
56913,29.00,8
56914,41.00,7
56915,15.00,10
56916,42.00,9
56917,40.00,8
56918,11.00,7
56919,35.00,3
56920,0.00,1
56921,31.00,8
56922,21.00,8
56923,8.00,7
56924,48.00,8
56925,45.00,8
56926,20.00,9
56927,21.00,8
56928,22.00,7
56929,6.00,9
56930,3.00,7
56931,8.00,8
56932,5.00,8
56933,31.00,10
56934,11.00,8
56935,34.00,8
56936,43.00,7
56937,0.00,2
56938,11.00,8
56939,45.00,7
56940,44.00,10
56941,16.00,8
56942,46.00,10
56943,0.00,1
56944,37.00,9
56945,26.00,10
56946,23.00,10
56947,50.00,8
56948,25.00,8
56949,17.00,9
56950,18.00,10
56951,29.00,8
56952,12.00,10
56953,34.00,7
56954,34.00,8
56955,16.00,7
56956,12.00,9
56957,34.00,8
56958,50.00,9
56959,29.00,7
56960,19.00,10
56961,42.00,10
56962,0.00,1
56963,41.00,8
56964,43.00,9
56965,0.00,2
56966,14.00,8
56967,16.00,7
56968,39.00,3
56969,10.00,8
56970,48.00,9
56971,14.00,9
56972,3.00,5
56973,49.00,7
56974,40.00,8
56975,34.00,9
56976,20.00,7
56977,36.00,9
56978,25.00,10
56979,10.00,8
56980,24.00,9
56981,18.00,8
56982,28.00,10
56983,24.00,8
56984,36.00,8
56985,33.00,8
56986,24.00,8
56987,24.00,7
56988,27.00,8
56989,29.00,7
56990,7.00,4
56991,49.00,7
56992,43.00,1
56993,31.00,8
56994,14.00,7
56995,18.00,9
56996,14.00,9
